timestamp,sensor_id,x,y,z,datetime,TAC_Reading
1493737046,BK7610,0.141,-0.2686,-0.1372,2017-05-02 14:57:26,0.0653566311750205
1493738847,BK7610,0.0001,0.0003,0.0069,2017-05-02 15:27:27,0.0764619396581417
1493740845,BK7610,0.0004,-0.0001,0.0045,2017-05-02 16:00:45,0.08519669593783
1493742871,BK7610,-0.1156,0.0179,0.0778,2017-05-02 16:34:31,0.0901654782586229
1493744843,BK7610,0.0058,0.0026,-0.0039,2017-05-02 17:07:23,0.0891215869917304
1493746883,BK7610,-0.0295,0.0271,-0.021,2017-05-02 17:41:23,0.0805881161832726
1493748731,BK7610,-0.0011,0.0006,0.0051,2017-05-02 18:12:11,0.0659532707973154
1493750580,BK7610,0.0019,0.0109,-0.01,2017-05-02 18:43:00,0.0504236165425418
1493752430,BK7610,-0.0333,0.0401,0.0715,2017-05-02 19:13:50,0.0416892364132567
1493754265,BK7610,0.0001,0.0004,0.0056,2017-05-02 19:44:25,0.0465593903717664
1493756113,BK7610,-0.0248,-0.0402,-0.0338,2017-05-02 20:15:13,0.0672685522943786
1493757960,BK7610,-0.2864,-0.3358,0.3045,2017-05-02 20:46:00,0.0996299302390253
1493759807,BK7610,0.0011,-0.0011,0.0063,2017-05-02 21:16:47,0.134315215646515
1493761652,BK7610,0.0168,0.0235,-0.026,2017-05-02 21:47:32,0.160773735223867
1493763497,BK7610,-0.0313,-0.0096,0.0171,2017-05-02 22:18:17,0.171757519162516
1493765341,BK7610,-0.0318,0.0287,0.0314,2017-05-02 22:49:01,0.166076460319591
1493767186,BK7610,0.0159,-0.0149,0.0146,2017-05-02 23:19:46,0.14826540199656
1493744843,BU4707,-0.0548,-0.0088,-0.0272,2017-05-02 17:07:23,0.0891215869917304
1493746883,BU4707,0.0024,-0.0003,0.0007,2017-05-02 17:41:23,0.0805881161832726
1493748731,BU4707,0.0802,0.0908,-0.2207,2017-05-02 18:12:11,0.0659532707973154
1493750580,BU4707,-0.1586,-0.1127,0.0391,2017-05-02 18:43:00,0.0504236165425418
1493752430,BU4707,-0.0103,-0.0052,-0.0024,2017-05-02 19:13:50,0.0416892364132567
1493754265,BU4707,-0.0103,0.0364,0.0708,2017-05-02 19:44:25,0.0465593903717664
1493741188,CC6740,-4.696118,-16.039703,6.3157682,2017-05-02 16:06:28,0.0418695110880722
